part_name,type,x_extent,y_extent,start_pad,end_pad,color,hatch,arrowhead_height,arrowhead_length,linestyle,linewidth
ECK120029600,Terminator,,,,,0.00;0.41;0.22,,,,,
pBAD,Promoter,,,,,0.0;0.0;0.0,,,,,
SrpR,CDS,,,,,0.00;0.41;0.22,,,,,
AmeR,CDS,,,,,0.44;0.80;0.88,,,,,
YFP_cassette,UserDefined,25,5,,,0.00;0.00;0.00,,,,,
RiboJ57,Ribozyme,,,,,0.33;0.33;0.64,,,,,
E1,RBS,,,,,0.33;0.33;0.64,,,,,
A1,RBS,,,,,0.23;0.66;0.88,,,,,
pAmtR,Promoter,,,,,0.23;0.66;0.88,,,,,
pBM3R1,Promoter,,,,,0.93;0.18;0.17,,,,,
PhlF,CDS,,,,,0.98;0.64;0.15,,,,,
QacR,CDS,,,,,0.40;0.74;0.27,,,,,
P1,RBS,,,,,0.98;0.64;0.15,,,,,
SarJ,Ribozyme,,,,,0.93;0.18;0.17,,,,,
pBetI,Promoter,,,,,0.33;0.33;0.64,,,,,
BM3R1,CDS,,,,,0.93;0.18;0.17,,,,,
ECK120033737,Terminator,,,,,0.98;0.64;0.15,,,,,
L3S3P11,Terminator,,,,,0.33;0.33;0.64,,,,,
ECK120010818,Terminator,,,,,0.40;0.74;0.27,,,,,
RiboJ60,Ribozyme,,,,,0.40;0.74;0.27,,,,,
pTet,Promoter,,,,,0.0;0.0;0.0,,,,,
BetI,CDS,,,,,0.33;0.33;0.64,,,,,
F1,RBS,,,,,0.44;0.80;0.88,,,,,
L3S3P31,Terminator,,,,,0.44;0.80;0.88,,,,,
B3,RBS,,,,,0.93;0.18;0.17,,,,,
pPhlF,Promoter,,,,,0.98;0.64;0.15,,,,,
pTac,Promoter,,,,,0.0;0.0;0.0,,,,,
AmtR,CDS,,,,,0.23;0.66;0.88,,,,,
BydvJ,Ribozyme,,,,,0.23;0.66;0.88,,,,,
pQacR,Promoter,,,,,0.40;0.74;0.27,,,,,
RiboJ53,Ribozyme,,,,,0.98;0.64;0.15,,,,,
pAmeR,Promoter,,,,,0.44;0.80;0.88,,,,,
L3S2P11,Terminator,,,,,0.93;0.18;0.17,,,,,
pSrpR,Promoter,,,,,0.00;0.41;0.22,,,,,
L3S2P55,Terminator,,,,,0.23;0.66;0.88,,,,,
RiboJ10,Ribozyme,,,,,0.00;0.41;0.22,,,,,
S4,RBS,,,,,0.00;0.41;0.22,,,,,
RiboJ54,Ribozyme,,,,,0.44;0.80;0.88,,,,,
Q2,RBS,,,,,0.40;0.74;0.27,,,,,
ECK120029600,Terminator,,,,,0.00;0.41;0.22,,,,,
pBAD,Promoter,,,,,0.0;0.0;0.0,,,,,
SrpR,CDS,,,,,0.00;0.41;0.22,,,,,
AmeR,CDS,,,,,0.44;0.80;0.88,,,,,
YFP_cassette,UserDefined,25,5,,,0.00;0.00;0.00,,,,,
RiboJ57,Ribozyme,,,,,0.33;0.33;0.64,,,,,
E1,RBS,,,,,0.33;0.33;0.64,,,,,
A1,RBS,,,,,0.23;0.66;0.88,,,,,
pAmtR,Promoter,,,,,0.23;0.66;0.88,,,,,
pBM3R1,Promoter,,,,,0.93;0.18;0.17,,,,,
PhlF,CDS,,,,,0.98;0.64;0.15,,,,,
QacR,CDS,,,,,0.40;0.74;0.27,,,,,
P1,RBS,,,,,0.98;0.64;0.15,,,,,
SarJ,Ribozyme,,,,,0.93;0.18;0.17,,,,,
pBetI,Promoter,,,,,0.33;0.33;0.64,,,,,
BM3R1,CDS,,,,,0.93;0.18;0.17,,,,,
ECK120033737,Terminator,,,,,0.98;0.64;0.15,,,,,
L3S3P11,Terminator,,,,,0.33;0.33;0.64,,,,,
ECK120010818,Terminator,,,,,0.40;0.74;0.27,,,,,
RiboJ60,Ribozyme,,,,,0.40;0.74;0.27,,,,,
pTet,Promoter,,,,,0.0;0.0;0.0,,,,,
BetI,CDS,,,,,0.33;0.33;0.64,,,,,
F1,RBS,,,,,0.44;0.80;0.88,,,,,
L3S3P31,Terminator,,,,,0.44;0.80;0.88,,,,,
B3,RBS,,,,,0.93;0.18;0.17,,,,,
pPhlF,Promoter,,,,,0.98;0.64;0.15,,,,,
pTac,Promoter,,,,,0.0;0.0;0.0,,,,,
AmtR,CDS,,,,,0.23;0.66;0.88,,,,,
BydvJ,Ribozyme,,,,,0.23;0.66;0.88,,,,,
pQacR,Promoter,,,,,0.40;0.74;0.27,,,,,
